id,energy,valence,danceability,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
5vdp5UmvTsnMEMESIF2Ym7,0.528,0.754,0.933,109.967,-6.472,0.161,0.112,0.312,0.163
2olVm1lHicpveMAo4AUDRB,0.828,0.961,0.768,118.777,-5.109,0.0313,0.0964,2.85e-05,0.097
4d6eqRtpDX7tydHJGDZUBQ,0.687,0.965,0.799,108.804,-5.682,0.0431,0.193,0.000188,0.0307
2AX5E86cn9n2dgioZEjirI,0.383,0.599,0.562,93.764,-15.474,0.0304,0.143,0.124,0.138
2aEuA8PSqLa17Y4hKPj5rr,0.616,0.851,0.677,114.223,-13.826,0.032,0.458,0.0132,0.349
1PtQJZVZIdWIYdARpZRDFO,0.545,0.194,0.629,108.376,-13.123,0.0546,0.719,0.00308,0.0604
6RNDeRnWsRMjPdNVgupZCs,0.551,0.65,0.748,113.535,-9.054,0.0239,0.243,1.57e-06,0.0943
5Hyr47BBGpvOfcykSCcaw9,0.685,0.895,0.616,150.055,-15.289,0.04,0.0245,1.13e-05,0.0491
3koCCeSaVUyrRo3N2gHrd8,0.648,0.9,0.869,125.035,-8.698,0.0633,0.121,2.17e-05,0.126
1mCsF9Tw4AkIZOjvZbZZdT,0.588,0.828,0.917,110.077,-11.047,0.0607,0.195,0.0,0.0914
2374M0fQpWi3dLnB54qaLX,0.373,0.732,0.671,92.718,-18.064,0.0323,0.257,8.01e-05,0.0481
3HCah9Waf9Jby9gLIWN4MI,0.646,0.551,0.545,85.761,-9.693,0.0405,0.00823,0.22,0.159
2bCQHF9gdG5BNDVuEIEnNk,0.981,0.595,0.853,118.193,-3.947,0.0751,0.247,0.468,0.306
0J2p4KYdr6Mg4ET6JPlbe1,0.626,0.961,0.764,118.34,-8.274,0.0288,0.457,6.35e-06,0.201
0GONea6G2XdnHWjNZd6zt3,0.834,0.774,0.509,139.13,-6.205,0.0386,0.0183,0.0,0.0732
6WK9dVrRABMkUXFLNlgWFh,0.838,0.752,0.663,112.788,-5.744,0.0286,0.2,0.000177,0.0782
21qnJAMtzC6S5SESuqQLEK,0.844,0.715,0.885,124.602,-9.225,0.0733,0.0147,4.49e-06,0.0494
2IJftBfq7pJ43tfnOR0RB3,0.467,0.58,0.636,96.639,-10.1,0.0421,0.0915,1.7e-06,0.117
6yl8Es1tCYD9WdSkeVLFw4,0.768,0.769,0.529,127.316,-5.51,0.0566,0.00224,0.00075,0.297
0sKlV58cODrjxGFOyf9IXY,0.854,0.54,0.877,114.472,-4.523,0.147,0.0544,5.5e-05,0.144
0ikz6tENMONtK6qGkOrU3c,0.573,0.897,0.62,81.548,-11.893,0.0423,0.271,0.0,0.0607
3h04eZTnmFLRMjZajbrp2R,0.63,0.785,0.795,108.701,-7.217,0.084,0.0419,0.573,0.0894
7N3PAbqfTjSEU1edb2tY8j,0.835,0.795,0.572,129.981,-6.219,0.0317,0.171,0.000377,0.0702
5tVA6TkbaAH9QMITTQRrNv,0.449,0.573,0.623,84.383,-13.333,0.0253,0.212,0.0,0.0613
4Yqy0GpeDEXLibWJCZyQew,0.982,0.275,0.363,179.23,-3.621,0.3,0.00123,0.00218,0.284
0G21yYKMZoHa30cYVi1iA8,0.987,0.316,0.454,123.61,-4.485,0.0881,0.0195,0.279,0.268
1YQCRXscu8xE74BVVMUCRr,0.597,0.735,0.463,169.67,-13.515,0.0637,0.0178,0.0,0.177
3K7Q9PHUWPTaknlbFPThn2,0.664,0.906,0.886,121.631,-11.795,0.0524,0.145,0.0483,0.0767
1QEEqeFIZktqIpPI4jSVSF,0.681,0.285,0.377,108.789,-8.039,0.0298,0.00088,0.0023,0.0504
1PtQJZVZIdWIYdARpZRDFO,0.545,0.194,0.629,108.376,-13.123,0.0546,0.719,0.00308,0.0604
6C4LXC9UFH1IKiHYOp0BiJ,0.944,0.735,0.543,101.174,-7.495,0.0543,0.402,0.000564,0.0373
6HSXNV0b4M4cLJ7ljgVVeh,0.396,0.229,0.513,140.208,-13.061,0.0299,0.251,0.177,0.11
0Z9UkcT1pnrmLciUJPcMMS,0.802,0.729,0.724,143.116,-6.117,0.0337,0.25,0.0016,0.342
3cbV252akVZInSvJk7jAYX,0.655,0.392,0.572,122.49,-7.027,0.0344,0.00579,3.41e-06,0.0901
1UvTPXlImVd4jcucK4qJwb,0.781,0.385,0.7,108.694,-8.255,0.0507,0.0869,0.00342,0.059
3pbtBomO4Zt5gGiqsYeiBH,0.855,0.884,0.873,107.868,-8.559,0.0615,0.179,0.0285,0.0377
39shmbIHICJ2Wxnk1fPSdz,0.836,0.82,0.743,113.375,-6.465,0.116,0.0804,0.0,0.384
4vpeKl0vMGdAXpZiQB2Dtd,0.293,0.322,0.551,106.798,-12.503,0.0272,0.486,0.000273,0.0864
6C4LXC9UFH1IKiHYOp0BiJ,0.944,0.735,0.543,101.174,-7.495,0.0543,0.402,0.000564,0.0373
6HSXNV0b4M4cLJ7ljgVVeh,0.396,0.229,0.513,140.208,-13.061,0.0299,0.251,0.177,0.11
1ogRu1dOUgHvel8To8oQbe,0.635,0.591,0.587,96.519,-5.47,0.0377,0.0353,0.0,0.331
3Cx4yrFaX8CeHwBMReOWXI,0.967,0.895,0.712,145.024,-5.206,0.047,0.0771,0.0,0.356
3elV4E1GOKfF0MVRgdp6eU,0.301,0.138,0.398,79.109,-13.88,0.0282,0.532,0.838,0.0685
4o6BgsqLIBViaGVbx5rbRk,0.501,0.902,0.751,167.057,-12.151,0.0551,0.234,0.112,0.0467
7HKxTNVlkHsfMLhigmhC0I,0.833,0.773,0.553,142.663,-6.667,0.0347,0.000646,0.00246,0.0737
4nFNJmjfgBF7jwv2oBC45b,0.649,0.645,0.674,134.212,-9.321,0.0356,0.0456,0.000766,0.0644
1jDJFeK9x3OZboIAHsY9k2,0.904,0.773,0.505,176.811,-6.863,0.179,0.355,0.118,0.14
1ChulFMnwxoD74Me8eX2TU,0.963,0.918,0.554,128.175,-3.762,0.035,0.000244,0.0702,0.431
41kCFJBcaLSt7Ruk5zO3Vr,0.367,0.0386,0.0986,68.131,-8.96,0.035,0.591,0.00113,0.114
44aTAUBF0g6sMkMNE8I5kd,0.768,0.429,0.558,81.909,-9.997,0.0343,0.121,0.0626,0.124
4euAGZTszWPrriggYK0HG9,0.727,0.71,0.678,133.481,-7.844,0.0258,0.117,0.00396,0.354
1JSTJqkT5qHq8MDJnJbRE1,0.452,0.74,0.82,117.401,-9.796,0.0348,0.543,0.00294,0.0714
0X1sqQ652p1sceKM2nJlIJ,0.899,0.603,0.475,152.445,-4.321,0.0637,0.00375,1.91e-05,0.14
5fy4vfEtv6lzqLx2Mt7stF,0.86,0.284,0.544,127.129,-6.151,0.0489,0.206,0.00108,0.213
7wuJGgpTNzbUyn26IOY6rj,0.723,0.19,0.431,130.141,-5.887,0.0568,0.145,0.0,0.374
5dRQUolXAVX3BbCiIxmSsf,0.757,0.582,0.555,129.607,-7.868,0.0601,0.103,1.16e-06,0.0631
5luOvrlnzfvJQdQjrScVj4,0.952,0.765,0.633,95.423,-4.274,0.0338,0.0532,1.73e-06,0.989
56GbZVwxMdf1DENCluYS8A,0.752,0.358,0.435,80.854,-6.993,0.0421,0.00939,0.000204,0.0844
77NNZQSqzLNqh2A9JhLRkg,0.802,0.472,0.491,119.25,-7.106,0.0392,0.25,0.0,0.387
7Ewz6bJ97vUqk5HdkvguFQ,0.589,0.334,0.379,140.068,-7.315,0.027,0.0473,0.0,0.122
4uvjOKsp7mSjrDhWdkLPBY,0.723,0.94,0.752,130.519,-12.126,0.0507,0.025,0.00354,0.0212
