id,name,artist,played_at,energy,valence,danceability,tempo,loudness,speechiness,acousticness,instrumentalness,liveness
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,Queen,2026-01-24T10:17:36.868Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4KFM3A5QF2IMcc6nHsu3Wp,Englishman In New York,Sting,2026-01-24T10:13:36.596Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ogRu1dOUgHvel8To8oQbe,Wicked Ones,Dorothy,2026-01-24T09:21:15.238Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5qHYXcVvc9xsFB2uH7GpMN,Kokomo,The Beach Boys,2026-01-24T01:39:45.567Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4wswaG5vmNINMZcVBsAyBP,Got My Mind Set on You,George Harrison,2026-01-23T23:22:02.154Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3iM9wFGlyR28IBZrXYZK9j,Cold as Ice - 2008 Remaster,Foreigner,2026-01-23T23:18:04.652Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,2026-01-23T23:14:43.943Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44aTAUBF0g6sMkMNE8I5kd,Every Little Thing She Does Is Magic,The Police,2026-01-23T23:11:29.218Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Bruce Springsteen,2026-01-23T23:07:03.895Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6pPWRBubXOBAHnjl5ZIujB,The Best,Tina Turner,2026-01-23T23:02:58.005Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0CsM8VGDi38kusMv3pxyj1,True - Single Edit,Spandau Ballet,2026-01-23T22:53:49.611Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PTG3Z6ehGkBFwjybzWkR8,Never Gonna Give You Up,Rick Astley,2026-01-23T22:47:14.677Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4S1VYqwfkLit9mKVY3MXoo,Forever Young,Alphaville,2026-01-23T22:43:40.364Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0odIT9B9BvOCnXfS0e4lB5,Bette Davis Eyes,Kim Carnes,2026-01-23T22:39:53.551Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,U2,2026-01-23T22:36:05.280Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4KFM3A5QF2IMcc6nHsu3Wp,Englishman In New York,Sting,2026-01-23T22:31:26.893Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0ee1DiZF94NSqqpG0XHUzH,Livin' On A Prayer,Bon Jovi,2026-01-23T22:26:58.858Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,2026-01-23T22:22:48.123Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SGP8It5WDnCONyApJKRTJ,Who Wants To Live Forever - Remastered 2011,Queen,2026-01-23T20:35:12.051Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,U2,2026-01-23T20:27:24.033Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7fRvtXvJMpGfTLdF0M09a1,Talking In Your Sleep (2023 Remaster),The Romantics,2026-01-23T19:32:12.361Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
